GID,Suburb
13637732,SUNBURY
11055815,PLUMPTON
13630349,MERRIMU
13630541,DIGGERS REST
13630543,DIGGERS REST
13630545,DIGGERS REST
13630547,DIGGERS REST
13630632,WOODEND
13630636,WOODEND
13630638,WOODEND
13527334,NEW GISBORNE
13527336,NEW GISBORNE
13527338,NEW GISBORNE
13639805,SUNBURY
13639807,SUNBURY
13639809,SUNBURY
13633194,SUNBURY
13633200,SUNBURY
13633202,SUNBURY
13633204,SUNBURY
13633206,SUNBURY
13633208,SUNBURY
13633211,SUNBURY
13633213,SUNBURY
13633938,MERRIMU
13633940,MERRIMU
13633942,MERRIMU
13633946,MERRIMU
13642648,BACCHUS MARSH
13642649,BACCHUS MARSH
13642326,MELTON SOUTH
13642342,MELTON SOUTH
13642664,WOODEND
13642725,WOODEND
13642738,WOODEND
13642749,WOODEND
13642773,WOODEND
13642775,WOODEND
13642777,WOODEND
13642779,WOODEND
13642781,WOODEND
13642783,WOODEND
13642785,WOODEND
13642787,WOODEND
13642789,WOODEND
13642791,WOODEND
13638003,ROMSEY
13638005,ROMSEY
13638070,MELTON WEST
13638059,MELTON WEST
13638068,MELTON WEST
13638073,MELTON WEST
13638092,DARLEY
13638095,DARLEY
13638097,DARLEY
13638099,DARLEY
13638101,DARLEY
13639813,SUNBURY
13639817,SUNBURY
13639819,SUNBURY
13639821,SUNBURY
13639824,SUNBURY
11004632,MELTON WEST
11520314,TOOLERN VALE
11520352,TOOLERN VALE
11520354,TOOLERN VALE
11520356,TOOLERN VALE
11520358,DIGGERS REST
11520360,DIGGERS REST
11520362,DIGGERS REST
11520364,DIGGERS REST
11520369,DIGGERS REST
11520371,DIGGERS REST
11520373,DIGGERS REST
11520375,DIGGERS REST
11520377,DIGGERS REST
11520379,DIGGERS REST
11520381,DIGGERS REST
11055724,PLUMPTON
11055730,PLUMPTON
11055749,PLUMPTON
11055751,PLUMPTON
11055753,PLUMPTON
11055755,PLUMPTON
11055758,PLUMPTON
11059675,WOODEND
11267482,DIGGERS REST
11267489,DIGGERS REST
11267486,DIGGERS REST
13642793,WOODEND
13642795,WOODEND
13642797,WOODEND
13642803,WOODEND
13642806,WOODEND
13642810,WOODEND
11520394,DIGGERS REST
11520396,DIGGERS REST
11520398,DIGGERS REST
11520402,DIGGERS REST
11520404,DIGGERS REST
11520406,DIGGERS REST
11520408,DIGGERS REST
11520410,DIGGERS REST
11520412,DIGGERS REST
11520414,DIGGERS REST
11520416,DIGGERS REST
11520418,DIGGERS REST
11520420,DIGGERS REST
11520422,DIGGERS REST
11520424,DIGGERS REST
11520426,DIGGERS REST
11520431,DIGGERS REST
11520433,DIGGERS REST
11520435,DIGGERS REST
11520437,DIGGERS REST
11520441,DIGGERS REST
11004151,MELTON WEST
2772790,GISBORNE
2772791,GISBORNE
2772792,GISBORNE
11004606,MELTON WEST
11004610,MELTON WEST
13632863,MADDINGLEY
13632865,MADDINGLEY
13632866,MADDINGLEY
13632869,MADDINGLEY
13632872,MADDINGLEY
13632875,MADDINGLEY
13633036,BULLA
13641788,SUNBURY
13641790,SUNBURY
13641792,SUNBURY
13641794,SUNBURY
13641796,SUNBURY
13641798,SUNBURY
13641802,SUNBURY
13641806,SUNBURY
13641808,SUNBURY
13641810,SUNBURY
13641812,SUNBURY
13641814,SUNBURY
13641815,SUNBURY
13641817,SUNBURY
13641819,SUNBURY
13641821,SUNBURY
13639740,KURUNJANG
13639742,KURUNJANG
13639744,KURUNJANG
13639746,KURUNJANG
13639749,KURUNJANG
13639750,KURUNJANG
13639752,KURUNJANG
11520444,DIGGERS REST
11520453,DIGGERS REST
11520455,DIGGERS REST
11520457,DIGGERS REST
11520459,DIGGERS REST
11520461,DIGGERS REST
11520463,DIGGERS REST
11142271,MELTON
13633950,MERRIMU
13633952,MERRIMU
13633956,MERRIMU
13633958,MERRIMU
13633960,MERRIMU
13633962,MERRIMU
13633966,MERRIMU
13633968,MERRIMU
13634056,MERRIMU
13634058,DARLEY
13634060,DARLEY
13634062,DARLEY
13634064,DARLEY
13634066,DARLEY
13634070,DARLEY
13633038,BULLA
13633043,BULLA
13633054,LANCEFIELD
13633056,LANCEFIELD
13633067,ROMSEY
13633072,ROMSEY
13633076,ROMSEY
11055836,PLUMPTON
11055838,PLUMPTON
11055844,PLUMPTON
11055846,PLUMPTON
11055849,PLUMPTON
11055852,PLUMPTON
11055893,SUNBURY
11055887,SUNBURY
11055891,SUNBURY
11055897,SUNBURY
11055899,SUNBURY
11055901,SUNBURY
11055903,DIGGERS REST
11055905,DIGGERS REST
11055909,DIGGERS REST
13639825,SUNBURY
13639827,SUNBURY
13639829,SUNBURY
13639832,SUNBURY
2829570,SUNBURY
2829665,SUNBURY
11296738,PLUMPTON
11296740,PLUMPTON
11296746,PLUMPTON
11296748,PLUMPTON
11296751,PLUMPTON
11296756,PLUMPTON
11296760,PLUMPTON
11296762,PLUMPTON
11296764,PLUMPTON
11296768,PLUMPTON
11296770,PLUMPTON
11296778,PLUMPTON
11296780,PLUMPTON
11296809,PLUMPTON
11296811,PLUMPTON
11296813,PLUMPTON
11296819,PLUMPTON
11296822,PLUMPTON
13549574,MOUNT MACEDON
13549576,MOUNT MACEDON
13549578,MOUNT MACEDON
13549580,MOUNT MACEDON
13549582,MOUNT MACEDON
382522,DIGGERS REST
11297464,MELTON WEST
11297465,MELTON WEST
11297466,MELTON WEST
11297467,MELTON WEST
11297865,MELTON WEST
11297867,MELTON WEST
11297868,MELTON WEST
11298965,HILLSIDE
11298967,HILLSIDE
11299408,HILLSIDE
11299410,HILLSIDE
11299412,HILLSIDE
11299429,HILLSIDE
11299433,HILLSIDE
11299884,HILLSIDE
11299886,HILLSIDE
11299883,HILLSIDE
11299889,HILLSIDE
11299890,HILLSIDE
11299891,HILLSIDE
11299892,HILLSIDE
11299893,HILLSIDE
11299896,HILLSIDE
11283140,SUNBURY
11283142,SUNBURY
11283146,SUNBURY
11283151,SUNBURY
11283153,SUNBURY
11283168,SUNBURY
11283177,SUNBURY
11283180,SUNBURY
11283184,SUNBURY
11283187,SUNBURY
11283196,SUNBURY
11283200,SUNBURY
11572558,SUNBURY
11572560,SUNBURY
11572562,SUNBURY
11572564,SUNBURY
11572568,SUNBURY
11572570,SUNBURY
11572572,SUNBURY
11572575,SUNBURY
11572607,SUNBURY
11572610,SUNBURY
11572611,SUNBURY
11572614,SUNBURY
2797790,WOODEND
2797604,WOODEND
2797819,WOODEND
2797811,WOODEND
2797742,WOODEND
2797623,WOODEND
2797628,WOODEND
2797813,WOODEND
2797740,WOODEND
2802467,WOODEND
2797807,WOODEND
2797809,WOODEND
2797602,WOODEND
345936,MELTON
355138,MELTON
355140,MELTON
350482,LANCEFIELD
350487,LANCEFIELD
359672,GISBORNE
359673,GISBORNE
359674,MERRIMU
359675,MERRIMU
359677,MERRIMU
359679,LONG FOREST
359681,TOOLERN VALE
10089828,SUNBURY
10089832,SUNBURY
10089834,SUNBURY
10089836,SUNBURY
10089838,SUNBURY
10089839,SUNBURY
10089841,SUNBURY
10089842,SUNBURY
10089844,SUNBURY
10089846,SUNBURY
10089848,SUNBURY
10089850,SUNBURY
10089852,SUNBURY
10089853,SUNBURY
359703,LONG FOREST
359704,LONG FOREST
359705,LONG FOREST
359706,LONG FOREST
359501,DARLEY
11283204,SUNBURY
11283208,SUNBURY
11283212,SUNBURY
11283219,SUNBURY
11283248,SUNBURY
11283313,SUNBURY
11283315,SUNBURY
359526,BACCHUS MARSH
359523,BACCHUS MARSH
359527,BACCHUS MARSH
359528,MERRIMU
359531,MERRIMU
359532,MERRIMU
359533,MERRIMU
359534,MERRIMU
359535,MERRIMU
359536,MERRIMU
359537,MERRIMU
