GID,SYM_NAME,SYM_SCALE,SYM_ANGLE,COMMENTS,TAG_VALUE,INCIDENT,JOB_NO,EVENT_DATE,DURATION,ASSET_CODE,CATEGORY,EVENT_TYPE,WS_GID,WS_Tolerance,FailYear,FinancialFailYear
22676849, ,0,0, , ,4,32781,2014-10-03,, ,WATER,Unplanned,10074182,1m,2014,2014
22676858, ,0,0, , ,4,32782,2014-10-02,, ,WATER,Unplanned,10086155,1m,2014,2014
22774705, ,0,0, , ,4,33026,2014-11-13,30, ,WATER,Unplanned,22455453,1m,2014,2014
23731429, ,0,0, , ,4,35884,2015-09-18,, ,WATER,Unplanned,13656584,1m,2015,2015
23733324, ,0,0, , ,4,35885,2015-09-20,, ,WATER,Unplanned,335431,1m,2015,2015
23748410, ,0,0, , ,3,36084,2015-09-28,70, ,WATER,Unplanned,335373,1m,2015,2015
23895585, ,0,0, , ,4,36265,2015-10-16,35, ,WATER,Unplanned,346114,1m,2015,2015
23999487, ,0,0, , ,4,36623,2015-11-16,45, ,WATER,Unplanned,11557335,1m,2015,2015
23998837, ,0,0, , ,4,36581,2015-10-22,240, ,WATER,Unplanned,11091443,1m,2015,2015
23999200, ,0,0, , ,4,36620,2015-11-12,, ,WATER,Unplanned,11116222,1m,2015,2015
23999485, ,0,0, , ,3,36622,2015-11-16,70, ,WATER,Unplanned,329907,1m,2015,2015
23999493, ,0,0, , ,4,36629,2015-11-10,20, ,WATER,Unplanned,10103504,1m,2015,2015
23999496, ,0,0, , ,4,36632,2015-11-23,, ,WATER,Unplanned,23294392,1m,2015,2015
23999498, ,0,0, , ,4,36633,2015-11-23,20, ,WATER,Unplanned,10083052,1m,2015,2015
24049503, ,0,0, , ,4,36702,2015-11-16,30, ,WATER,Unplanned,11318330,1m,2015,2015
24049600, ,0,0, , ,3,36720,2015-11-23,, ,WATER,Unplanned,10096775,1m,2015,2015
24049626, ,0,0, , ,4,36721,2015-11-25,45, ,WATER,Unplanned,11073888,1m,2015,2015
24049805, ,0,0, , ,3,36782,2015-11-26,, ,WATER,Unplanned,21473118,1m,2015,2015
24049807, ,0,0, , ,4,36784,2015-11-30,50, ,WATER,Unplanned,10097511,1m,2015,2015
24049809, ,0,0, , ,3,36786,2015-11-28,30, ,WATER,Unplanned,2846173,1m,2015,2015
24100262, ,0,0, , ,4,36880,2015-12-11,, ,WATER,Unplanned,11547022,1m,2015,2015
24100325, ,0,0, , ,4,36925,2015-12-14,32, ,WATER,Unplanned,10102212,1m,2015,2015
24100339, ,0,0, , ,4,36926,2015-12-14,, ,WATER,Unplanned,20464702,1m,2015,2015
24100341, ,0,0, , ,4,36928,2015-12-17,110, ,WATER,Unplanned,2819091,1m,2015,2015
24100342, ,0,0, , ,3,36929,2015-12-16,125, ,WATER,Unplanned,21196073,1m,2015,2015
24149953, ,0,0, , ,3,36946,2015-12-01,, ,WATER,Unplanned,2804952,1m,2015,2015
24149956, ,0,0, , ,4,36949,2015-12-11,, ,WATER,Unplanned,11091516,1m,2015,2015
24149957, ,0,0, , ,4,36950,2015-12-14,, ,WATER,Unplanned,335206,1m,2015,2015
24149962, ,0,0, , ,4,36954,2015-12-16,, ,WATER,Unplanned,10117146,1m,2015,2015
24149963, ,0,0, , ,3,36955,2015-12-17,, ,WATER,Unplanned,2845681,1m,2015,2015
24149964, ,0,0, , ,3,36956,2015-12-18,, ,WATER,Unplanned,11546949,1m,2015,2015
24149965, ,0,0, , ,3,36957,2015-12-24,, ,WATER,Unplanned,11085354,1m,2015,2015
24149966, ,0,0, , ,4,36958,2015-12-18,, ,WATER,Unplanned,351924,1m,2015,2015
24149968, ,0,0, , ,3,36959,2015-12-18,, ,WATER,Unplanned,11126431,1m,2015,2015
24149972, ,0,0, , ,4,36960,2015-12-18,, ,WATER,Unplanned,10083403,1m,2015,2015
24149975, ,0,0, , ,4,36961,2015-12-23,, ,WATER,Unplanned,10166614,1m,2015,2015
24149976, ,0,0, , ,3,36962,2015-12-19,, ,WATER,Unplanned,334724,1m,2015,2015
